Site,Aspect,HistoricRichness,HistoricRichness2,Richness2017,Richness2018,Richnessavg,RichnessDiff,HistoricYear,Year,WA2,Site,KelpSR2018
2,N,10,11,8,7,7.5,0.681818182,1995,2017,2,2,7
3,W,7,9,8,6,7,0.777777778,1995,2017,3,3,6
4,W,9,10,10,7,8.5,0.85,1995,2017,3,4,7
5,W,2,3.5,3,2,2.5,0.714285714,1995,2017,2,5,2
6,S,2,2.5,1,1,1,0.4,1995,2017,1,6,1
7,S,5,6.5,1,0,0.5,0.076923077,1995,2017,2,7,0
8,W,4,5,1,1,1,0.2,1995,2017,2,8,1
9,NA,6,7,5,7,6,0.857142857,1995,2017,3,9,7
11,E,11,9.5,5,5,5,0.526315789,1995,2017,2,11,5
12,N,7,8,6,7,6.5,0.8125,1995,2017,2,12,7
13,NA,6,7,4,5,4.5,0.642857143,1993,2017,2,13,5
14,NA,10,10,5,5,5,0.5,1993,2017,2,14,5
30,E,1,4.5,3,NA,3,0.666666667,1995,2017,2,30,NA
32,W,7,6.5,2,NA,2,0.307692308,1995,2017,1,32,NA
34,S,5,5,4,6,5,1,1995,2017,3,34,6
36,NA,3,4,5,2,3.5,0.875,1995,2017,2,36,2
41,S,3,4,1,1,1,0.25,1995,2017,2,41,1
43,E,3,3,1,1,1,0.333333333,1995,2017,2,43,1
44,S,3,3.5,4,3,3.5,1,1995,2017,2,44,3
45,NA,4,4.5,2,4,3,0.666666667,1995,2017,1,45,4
46,E,4,3.5,3,2,2.5,0.714285714,1995,2017,1,46,2
76,S,2,1.5,0,1,0.5,0.333333333,1995,2017,1,76,1
77,N,3,2.5,1,1,1,0.4,1995,2017,1,77,1
78,S,1,1.5,1,1,1,0.666666667,1995,2017,2,78,1
79,S,1,2,1,1,1,0.5,1995,2017,1,79,1
81,S,1,1.5,1,0,0.5,0.333333333,1995,2017,2,81,0
87,N,6,7,3,3,3,0.428571429,1995,2017,2,87,3
88,W,7,7,3,2,2.5,0.357142857,1995,2017,2,88,2
89,W,5,6,3,4,3.5,0.583333333,1995,2017,2,89,4
90,E,2,2.5,2,2,2,0.8,1995,2017,1,90,2
91,S,1,1,1,0,0.5,0.5,1995,2017,1,91,0
92,N,2,3,0,1,0.5,0.166666667,1995,2017,1,92,1
93,S,4,4,3,3,3,0.75,1995,2017,3,93,3
94,N,4,4,2,1,1.5,0.375,1995,2017,1,94,1
95,N,6,6.5,3,5,4,0.615384615,1995,2017,2,95,5
96,W,4,6,2,2,2,0.333333333,1995,2017,2,96,2
100,E,6,6.5,5,6,5.5,0.846153846,1995,2017,2,100,6
101,S,4,5,6,5,5.5,1.1,1995,2017,3,101,5
102,N,4,5,5,5,5,1,1995,2017,3,102,5
103,S,4,4.5,3,5,4,0.888888889,1995,2017,3,103,5
105,E,4,3.5,0,1,0.5,0.142857143,1995,2017,1,105,1
107,NA,3,3,2,2,2,0.666666667,1995,2017,1,107,2
112,S,4,3.5,1,1,1,0.285714286,1995,2017,1,112,1
113,W,2,2.5,1,1,1,0.4,1995,2017,1,113,1
114,E,1,2,1,0,0.5,0.25,1995,2017,1,114,0
119,NA,1,2.5,6,6,6,2.4,1995,2017,3,119,6
121,W,4,4.5,5,7,6,1.333333333,1995,2017,2,121,7
123,S,3,3,5,5,5,1.666666667,1995,2017,3,123,5
155,NA,3,4,0,1,0.5,0.125,1994,2017,2,155,1
