Site,Ratio,Lat,Lon
2,0.681818182,48.82743,-125.198038
3,0.777777778,48.812146,-125.180139
4,0.85,48.812041,-125.179913
5,0.714285714,48.838243,-125.13494
6,0.4,48.838181,-125.134626
7,0.076923077,48.851866,-125.123474
8,0.2,48.852223,-125.122775
9,0.857142857,48.82448,-125.213356
11,0.526315789,48.818086,-125.230454
12,0.8125,48.817634,-125.229917
13,0.642857143,48.828558,-125.204139
14,0.5,48.828717,-125.204389
30,0.666666667,48.860772,-125.357202
32,0.307692308,48.861302,-125.357366
34,1,48.888457,-125.373135
36,0.875,48.894443,-125.298961
41,0.25,48.904582,-125.263939
43,0.333333333,48.925732,-125.221832
44,1,48.925484,-125.222428
45,0.666666667,48.922616,-125.225964
46,0.714285714,48.922907,-125.225972
76,0.333333333,48.907905,-125.310621
77,0.4,48.908379,-125.297087
78,0.666666667,48.907967,-125.297332
79,0.5,48.910532,-125.290631
81,0.333333333,48.923335,-125.255429
87,0.428571429,48.853069,-125.182697
88,0.357142857,48.853069,-125.182697
89,0.583333333,48.851451,-125.184224
90,0.8,48.851917,-125.181785
91,0.5,48.907974,-125.297047
92,0.166666667,48.868131,-125.160674
93,0.75,48.86774,-125.16022
94,0.375,48.872095,-125.161593
95,0.615384615,48.875072,-125.164307
96,0.333333333,48.874192,-125.162649
100,0.846153846,48.865213,-125.171261
101,1.1,48.86601,-125.173179
102,1,48.87099,-125.171427
103,0.888888889,48.870678,-125.17178
105,0.142857143,48.884797,-125.150315
107,0.666666667,48.884945,-125.14714
112,0.285714286,48.878488,-125.144102
113,0.4,48.880801,-125.137096
114,0.25,48.891793,-125.115041
119,2.4,48.830687,-125.248756
121,1.333333333,48.881603,-125.158976
123,1.666666667,48.822012,-125.224653
155,0.125,48.90721,-125.35684
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
