Site Num,WA,Year,A.clathratum,A.fimbriatum,A.marginata,C.costata,E.menziesii,E.arborea,S.sessilis,L.ephemera,S nigripes,L.setchellii,L.littoralis,M.pyrifera,N.luetkeana,P.gardneri,P.californica,P.palmaeformis,S.latissima,,
2,3,1993,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,,
2,3,1995,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,,
2,3,2017,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,,
2,3,2018,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,,
3,4,1993,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,,
3,4,1995,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,,
3,4,2017,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,,
3,4,2018,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,,
4,4,1993,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,,
4,4,1995,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,,
4,4,2017,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,,
4,4,2018,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,,
5,3,1993,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,,
5,3,1995,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
5,3,2017,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,
5,3,2018,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
6,2,1993,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,
6,2,1995,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
6,2,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
6,2,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
7,3,1993,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,,
7,3,1995,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,,
7,3,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
7,3,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,3,1993,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,,
8,3,1995,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,,
8,3,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
8,3,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
9,4,1993,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,,
9,4,1995,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
9,4,2017,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
9,4,2018,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,,
11,3,1993,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,,
11,3,1995,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,,
11,3,2017,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,,
11,3,2018,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,
12,3,1993,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,,
12,3,1995,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,,
12,3,2017,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
12,3,2018,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,
13,3,1993,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,,
13,3,2017,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,,
13,3,2018,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
14,3,1993,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,,
14,3,2017,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,
14,3,2018,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,,
