Site,Location,ExposureAngle,WA,WA2,logExp
3,Execution,26,Exposed,3,1.431363764
4,Execution,35,Exposed,3,1.556302501
6,Grappler,0,Protected,1,0
7,Dixon,18,Moderate,2,1.278753601
9,EdwardKing,20,Exposed,3,1.322219295
13,EdwardKing,37,Moderate,2,1.579783597
32,Wouwer,0,Protected,1,0
34,Clarke,26,Exposed,3,1.431363764
41,Dempster,29,Moderate,2,1.477121255
44,Swale,32,Moderate,2,1.51851394
76,Turtle,0,Protected,1,0
78,Mullins,0,Moderate,2,0
79,Keith,0,Protected,1,0
81,Island by Parks Canada Float Cabin,0,Moderate,2,0
88,Ohiat,11,Moderate,2,1.079181246
89,Ohiat,8,Moderate,2,0.954242509
91,Mullins,0,Protected,1,0
96,Ross,9,Moderate,2,1
101,Sanford,26,Exposed,3,1.431363764
103,Sandford,27,Exposed,3,1.447158031
107,Flemming,0,Protected,1,0
112,Flemming,0,Protected,1,0
113,Flemming,0,Protected,1,0
121,Flemming,25,Moderate,2,1.414973348
123,EdwardKing,94,Exposed,3,1.977723605
155,Trickett,0,Moderate,1,0
